draft_id,user_id,username,draft_created_time,draft_filled_time,draft_time,draft_completed_time,clock,draft_entry_id,tournament_entry_id,tournament_round_draft_entry_id,tournament_round_number,player_name,player_id,position_name,projection_adp,source,pick_order,overall_pick_number,team_pick_number,pick_created_time,pick_points,roster_points,made_playoffs
80805d8c-91e1-45ca-a815-77f5a78dda0e,5f459a58-7d84-427b-baf5-ada6b0b739d1,slaughterhouse,2023-04-24 22:39:43-05,2023-05-05 23:40:26-05,2023-05-05 23:41:33-05,2023-05-06 00:28:08-05,30,30140ba1-7337-42e8-90ba-ae3db3aa1ba3,4f3f4b00-ac4b-41ef-9478-f00ab0a81d67,5dc69c00-c2df-43e2-8e38-f9ae1ba98a79,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,2.89,user,3,3,1,2023-05-05 23:41:47-05,285.4,1694.04,0
a7d47e31-d34e-46de-8ed6-c2e0c22ce0ef,0e4f3d9d-c2f3-4674-bf85-12ef64b9237e,mnsports9718125,2023-04-24 22:42:34-05,2023-06-18 01:15:07-05,2023-06-18 01:16:12-05,2023-06-18 02:03:40-05,30,183ca859-ce84-4464-8f01-3e3d63fae4d3,98203123-44d9-4764-81ab-5ad442d4cb4c,2a3da4ba-4af2-4af2-9fab-dcb689a152aa,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,4.25,user,7,7,1,2023-06-18 01:17:44-05,259.9,1694.12,0
3304cf68-850f-40c9-a3f6-95825a92cd94,5d94d8c2-ae86-4cee-9f43-bf670bb74bf0,copperprices,2023-04-24 22:41:51-05,2023-08-15 12:32:03-05,2023-08-15 12:33:08-05,2023-08-15 13:22:50-05,30,c5d89d2d-9bb0-48da-b9b6-4d96d2847b83,0866042a-21fb-4b0d-81cc-1c9f939ba820,d24bc267-afbb-4ff5-809d-5afc07faab0a,1,Cooper Kupp,c5719ef0-3dcc-4740-84af-ef600d160bd9,WR,5.29,auto,5,5,1,2023-08-15 12:34:21-05,86.2,1693.9,0
d3dd09dc-9951-41ff-a394-1853a7418be0,54902373-0232-433f-a163-cc0681979a31,rmills105,2023-04-24 22:41:48-05,2023-08-19 21:39:08-05,2023-08-19 21:40:14-05,2023-08-19 22:24:52-05,30,9da944d5-3e6c-4667-84ad-5cf31e9d0678,56912bfc-b4e6-4460-ad3f-f3ee7a1d6e44,e8567762-d4d6-4b5a-98ec-70314eddef61,1,Austin Ekeler,7e6000de-0a9b-4d12-862b-5194ce6d526c,RB,7.4,user,9,9,1,2023-08-19 21:42:11-05,117.3,1693.84,0
1193ae9a-a2c0-4dcd-b54c-f3e6642f0eec,a3066e0b-4b40-4225-8dc7-8ec88046f468,barronbur,2023-04-24 22:42:34-05,2023-06-14 18:52:07-05,2023-06-14 18:53:14-05,2023-06-14 19:36:07-05,30,4986b3c4-b95e-496f-af30-39b890ef4aa9,46f40dfb-8c4b-45b8-b1ed-4239ce817251,926f0a1f-81ed-448e-a443-f4ddd58f76b7,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,4.37,user,1,1,1,2023-06-14 18:53:21-05,285.4,1693.48,0
07243a4c-0086-40be-9fc1-f285ea39339b,20ed547a-8636-48a9-aaad-52296d300133,fathead45,2023-04-24 22:42:04-05,2023-07-24 17:39:50-05,2023-07-24 17:40:56-05,2023-07-24 18:32:14-05,30,74eba7bf-e8d6-4acc-879b-01ac7fae55fe,56904db3-5d71-4fc6-8362-19703512450c,314a27b1-cb07-47d0-a434-beea8bef7f1c,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,11.01,user,9,9,1,2023-07-24 17:42:23-05,227.5,1693.18,0
819397e8-bfc8-4186-b6e7-8e84cb919963,dc15e362-6bcd-4d2c-8df6-8a63d21818d4,moldymoney10,2023-04-24 22:39:31-05,2023-08-31 02:17:33-05,2023-08-31 02:18:39-05,2023-08-31 03:05:56-05,30,f96b1eb7-763c-4d38-9d08-f131c891d19c,2e522206-1118-424a-b64c-e34e1280794d,c177dcf3-6dcb-4b96-825e-732eac259089,1,Christian McCaffrey,cb7b1dc6-91ce-47b8-813c-07486371a922,RB,3.2,user,5,5,1,2023-08-31 02:19:28-05,285.4,1692.96,0
8fb22a44-01a6-40fd-822d-c5c7cd777c6f,ef534424-7109-4459-b61a-2217a9b58a97,silkyjohnson11,2023-04-24 22:42:00-05,2023-07-29 02:19:20-05,2023-07-29 02:20:25-05,2023-07-29 03:06:37-05,30,59d4b557-637b-40ee-8394-fb29be5abe9a,cb5ac347-054d-4978-afb5-7d5d5bf48d75,50fb54b8-0112-45c2-a516-6926c897fff1,1,CeeDee Lamb,4de8084d-aa1a-43c7-9676-0def5b39e980,WR,11.2,user,12,12,1,2023-07-29 02:22:27-05,235.7,1692.76,0
07eb2513-3c43-461c-9c27-a0ea6aec2246,9d519a31-8872-4cc9-8052-55165ed054a5,tdking23,2023-04-24 22:42:33-05,2023-06-20 01:23:00-05,2023-06-20 01:24:07-05,2023-06-20 02:09:49-05,30,2188f7cf-d719-4ac6-9ee9-7e042342eb31,ddc5516e-9b19-4b05-b807-22f0a7429eb7,257769d0-1dae-49c4-b969-ecf10fdb7632,1,A.J. Brown,dd48e78f-5a11-4056-b21e-94789a31ee6e,WR,8.5,user,8,8,1,2023-06-20 01:25:11-05,204.6,1692.42,0
55e14cf0-a299-4de2-b8fe-b091f8a2ac2c,e01b013f-176d-4c3c-be30-683c44594e9f,zrausch,2023-04-24 22:39:27-05,2023-04-30 15:03:18-05,2023-04-30 15:04:25-05,2023-04-30 15:55:33-05,30,c101af9e-a60a-45e5-a811-8af368de767f,180657c5-7188-4f36-9435-1f06b4f6e245,a36f833e-05a6-4ecb-b64c-14dce4b2d147,1,Bijan Robinson,2b0cbe83-48a2-41b0-b03f-42180cfc4b77,RB,10.03,user,9,9,1,2023-04-30 15:05:49-05,145.3,1692.36,0
