draft_id,draft_time,clock,tournament_entry_id,tournament_round_number,player_name,position_name,bye_week,projection_adp,pick_order,overall_pick_number,team_pick_number,pick_points,roster_points,playoff_team
97544f3a-a2ad-4664-9b76-e90b8f124def,2021-06-25 23:32:39.888642-05,30,0c120c83-6b2b-4a2b-b22a-389a5f358c86,1,Carson Wentz,QB,14,157.31,9,153,13,74.86,1791.88,1
9ec6f50c-0941-41f1-bc16-373c9be9448c,2021-09-09 14:59:42.088594-05,30,7c86e2df-5df1-476a-aaad-928167ecd887,1,Marquez Valdes-Scantling,WR,13,141.48,5,149,13,38.3,1727.62,1
8c4354fc-09eb-4832-bf09-bb40ac1fbb42,2021-08-25 16:40:34.815269-05,30,ee51af8c-9bcd-4d3e-87af-c44fbce2c51d,1,Henry Ruggs,WR,0,115.86,1,121,11,43.8,1648.14,1
9236212d-5dc5-4222-8dd8-48aa831602d1,2021-07-11 20:24:39.210096-05,28800,b9387a2a-c05a-42cc-8b54-1c2721ecf55f,1,Cooper Kupp,WR,11,43.5,12,37,4,254.9,1698.18,1
9ee6d1d7-f2f1-4e4e-ae1d-be282e3bd737,2021-09-07 14:17:51.328826-05,30,a8621353-8e99-4679-9f56-d2deed34b72e,1,Austin Hooper,TE,13,170.82,11,179,15,38.1,1849.92,1
9f7d4675-2f76-480e-8cb5-c484333a16f3,2021-06-05 04:41:13.712512-05,28800,97eb7f36-0381-4303-83a0-347848670c84,1,Jarvis Landry,WR,13,91.86,11,86,8,24.8,1716.02,1
9c84a247-11a9-4554-83b2-7cd9632969c7,2021-05-12 19:34:03.243772-05,30,10e9d8f6-66c4-49bd-a99c-aa9428f5ab44,1,Stefon Diggs,WR,7,13.66,12,13,2,154.2,1730.16,1
83924ee9-db5f-486f-b22b-ee1b14740adb,2021-05-08 17:07:19.240719-05,30,723c3c1f-1a68-4560-a0db-810116ac7404,1,Davante Adams,WR,13,15.41,11,14,2,184.9,1623.88,1
984f79d0-0682-4e3b-9f0c-4b734af17443,2021-07-21 23:12:24.711041-05,28800,b2cb6946-826d-4d97-8c39-a9f00ec8aba9,1,Brandin Cooks,WR,10,89.44,11,86,8,110.5,1757.62,1
9d5b7b65-f38c-4165-93a7-9501835ea402,2021-08-28 22:02:35.376215-05,30,6e38a4d4-b74c-42c2-aa33-b7d7241dfe85,1,Damien Williams,RB,10,161.94,9,177,15,1.3,1800.3,1
